product_title,url,main_accords,longevity,sillage,gender,season,daytime,description
"Choco Musk Eau de Parfum Spray for Women, 1.7 Ounce",https://www.fragrantica.com/perfume/Al-Rehab/Choco-Musk-Eau-de-Parfum-88083.html,"warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber",moderate,moderate,female,"winter, fall",night,"Choco Musk Eau de Parfum Spray for Women, 1.7 Ounce, warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber, moderate, moderate, female"
Marc Jacobs Perfect Women 3.3 oz EDP Spray,https://www.fragrantica.com/perfume/Marc-Jacobs/Perfect-62021.html,"green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky",moderate,moderate,female,"spring, summer",day,"Marc Jacobs Perfect Women 3.3 oz EDP Spray, green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky, moderate, moderate, female"
Valentino Valentino Donna Born In Roma EDP Spray Women 3.4 oz,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-55805.html,"woody, vanilla, fruity, soft spicy, white floral, powdery, floral, musky, green, citrus",moderate,moderate,female,"fall, spring","day, night","Valentino Valentino Donna Born In Roma EDP Spray Women 3.4 oz, woody, vanilla, fruity, soft spicy, white floral, powdery, floral, musky, green, citrus, moderate, moderate, female"
"Al Rehab Choco Musk Eau De Parfum Spray for Women, 1.65 Ounce",https://www.fragrantica.com/perfume/Al-Rehab/Choco-Musk-Eau-de-Parfum-88083.html,"warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber",moderate,moderate,female,"fall, winter","day, night","Al Rehab Choco Musk Eau De Parfum Spray for Women, 1.65 Ounce, warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber, moderate, moderate, female"
"Victoria's Secret Bombshell Mini Fragrance Mist, Notes of Purple Passion Fruit, Shangri-La Peony & Vanilla Orchid, Travel Size Body Spray for Women (2.5 oz)",https://www.fragrantica.com/perfume/Victoria-s-Secret/Bombshell-10190.html,"fruity, sweet, fresh, citrus, floral, tropical, white floral",moderate,moderate,female,"summer, spring",day,"Victoria's Secret Bombshell Mini Fragrance Mist, Notes of Purple Passion Fruit, Shangri-La Peony & Vanilla Orchid, Travel Size Body Spray for Women (2.5 oz), fruity, sweet, fresh, citrus, floral, tropical, white floral, moderate, moderate, female"
"Lanc???me La Vie Est Belle Eau de Parfum - Long Lasting Fragrance with Notes of Iris, Earthy Patchouli, Warm Vanilla & Spun Sugar - Floral & Sweet Women's Perfume",https://www.fragrantica.com/perfume/Lancome/La-Vie-Est-Belle-L-Eau-de-Parfum-Intense-31181.html,"sweet, nutty, woody, vanilla, iris, white floral, fruity, lactonic, soft spicy, tuberose",eternal,strong,female,"winter, fall","night, day","Lanc???me La Vie Est Belle Eau de Parfum - Long Lasting Fragrance with Notes of Iris, Earthy Patchouli, Warm Vanilla & Spun Sugar - Floral & Sweet Women's Perfume, sweet, nutty, woody, vanilla, iris, white floral, fruity, lactonic, soft spicy, tuberose, eternal, strong, female"
"Britney Spears Women's Perfume, Fantasy, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz",https://www.fragrantica.com/perfume/Britney-Spears/Fantasy-Intimate-Edition-31170.html,"vanilla, sweet, powdery, ozonic, musky, citrus, fresh, white floral, fruity, aquatic",moderate,moderate,female,"fall, winter","day, night","Britney Spears Women's Perfume, Fantasy, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz, vanilla, sweet, powdery, ozonic, musky, citrus, fresh, white floral, fruity, aquatic, moderate, moderate, female"
"Pacifica Island Vanilla Hair Mist Perfume and Full Body Spray for Women - Fragrance Spray for A Mood-Lifting Experience, Paraben-Free, Clean Beauty No Alcohol, Vegan & Cruelty-Free, 6 oz oz",https://www.fragrantica.com/perfume/Pacifica/Island-Vanilla-14298.html,"vanilla, sweet, honey, powdery, fruity, floral",moderate,moderate,female,summer,day,"Pacifica Island Vanilla Hair Mist Perfume and Full Body Spray for Women - Fragrance Spray for A Mood-Lifting Experience, Paraben-Free, Clean Beauty No Alcohol, Vegan & Cruelty-Free, 6 oz oz, vanilla, sweet, honey, powdery, fruity, floral, moderate, moderate, female"
"Marc Jacobs Perfect Eau de Parfum for Women Mini Splash, 0.16 Ounce",https://www.fragrantica.com/perfume/Marc-Jacobs/Perfect-62021.html,"green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky",moderate,moderate,female,"spring, summer",day,"Marc Jacobs Perfect Eau de Parfum for Women Mini Splash, 0.16 Ounce, green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky, moderate, moderate, female"
"Lattafa Perfumes Asad for Unisex Eau de Parfum Spray, 3.4 Ounce",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html,"amber, fresh spicy, vanilla, woody, warm spicy, sweet, tobacco, powdery, patchouli, balsamic",long lasting,strong,male,"winter, fall",night,"Lattafa Perfumes Asad for Unisex Eau de Parfum Spray, 3.4 Ounce, amber, fresh spicy, vanilla, woody, warm spicy, sweet, tobacco, powdery, patchouli, balsamic, long lasting, strong, male"
"Al-Rehab Choco Musk Concentrated Perfume Rollerball for Unisex, 0.2 Ounce",https://www.fragrantica.com/perfume/Al-Rehab/Choco-Musk-20139.html,"vanilla, warm spicy, chocolate, sweet, powdery, musky, cacao, amber, balsamic",moderate,moderate,female,"winter, fall","day, night","Al-Rehab Choco Musk Concentrated Perfume Rollerball for Unisex, 0.2 Ounce, vanilla, warm spicy, chocolate, sweet, powdery, musky, cacao, amber, balsamic, moderate, moderate, female"
"Afnan 9 PM For Men Eau De Parfum, 3.4 Fl. Oz",https://www.fragrantica.com/perfume/Afnan/9pm-65414.html,"vanilla, amber, warm spicy, fruity, cinnamon, sweet, lavender, fresh, aromatic, powdery",long lasting,strong,more male,"winter, fall","night, day","Afnan 9 PM For Men Eau De Parfum, 3.4 Fl. Oz, vanilla, amber, warm spicy, fruity, cinnamon, sweet, lavender, fresh, aromatic, powdery, long lasting, strong, more male"
"Narciso Rodriguez BPI-007 For Her EDP Spray,3.3 Fl Oz (Pack of 1)",https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-for-Her-Eau-de-Parfum-14319.html,"musky, rose, powdery, woody, patchouli, warm spicy, fruity, amber, floral, sweet",moderate,moderate,female,"spring, fall","day, night","Narciso Rodriguez BPI-007 For Her EDP Spray,3.3 Fl Oz (Pack of 1), musky, rose, powdery, woody, patchouli, warm spicy, fruity, amber, floral, sweet, moderate, moderate, female"
Lattafa 4 Piece Set Eau De Parfum Spray for Women (3.4 Ounce Yara + 3.4 Ounce Yara Moi + 3.4 Ounce Yara Tous + 3.4 Ounce Yara Candy),https://www.fragrantica.com/perfume/Lattafa-Perfumes/Yara-76880.html,"sweet, vanilla, powdery, tropical, fruity, musky, floral, citrus",moderate,moderate,female,spring,day,"Lattafa 4 Piece Set Eau De Parfum Spray for Women (3.4 Ounce Yara + 3.4 Ounce Yara Moi + 3.4 Ounce Yara Tous + 3.4 Ounce Yara Candy), sweet, vanilla, powdery, tropical, fruity, musky, floral, citrus, moderate, moderate, female"
"Mugler Alien - Eau de Parfum - Women's Perfume - Floral & Woody - With Jasmine, Wood, and Amber - Long Lasting Fragrance",https://www.fragrantica.com/perfume/Mugler/Alien-707.html,"white floral, amber, floral",long lasting,strong,female,"winter, fall",night,"Mugler Alien - Eau de Parfum - Women's Perfume - Floral & Woody - With Jasmine, Wood, and Amber - Long Lasting Fragrance, white floral, amber, floral, long lasting, strong, female"
"Victoria's Secret Bombshell Eau de Parfum, Notes of Purple Passion Fruit, Shangri-La Peony & Vanilla Orchid, Perfumes for Women (1.7 oz)",https://www.fragrantica.com/perfume/Victoria-s-Secret/Bombshell-Eau-de-Parfum-38144.html,"fresh, floral, citrus, sweet, tropical, fruity, woody, aromatic, rose",moderate,moderate,female,summer,day,"Victoria's Secret Bombshell Eau de Parfum, Notes of Purple Passion Fruit, Shangri-La Peony & Vanilla Orchid, Perfumes for Women (1.7 oz), fresh, floral, citrus, sweet, tropical, fruity, woody, aromatic, rose, moderate, moderate, female"
Gucci Intense Oud by Gucci 3.0 oz Eau de Parfum Spray,https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Intense-Pour-Homme-13075.html,"citrus, aromatic, white floral, lavender, amber, woody, patchouli, soft spicy, fresh spicy, herbal",moderate,moderate,male,"fall, winter",night,"Gucci Intense Oud by Gucci 3.0 oz Eau de Parfum Spray, citrus, aromatic, white floral, lavender, amber, woody, patchouli, soft spicy, fresh spicy, herbal, moderate, moderate, male"
"Ralph Lauren - Romance - Eau de Parfum - Women's Perfume - Floral & Woody - With Rose, Jasmine, and Berries - Medium Intensity",https://www.fragrantica.com/perfume/Ralph-Lauren/Romance-825.html,"floral, rose, citrus, fresh spicy, herbal, white floral, woody, musky, powdery, fresh",moderate,moderate,female,"spring, summer",day,"Ralph Lauren - Romance - Eau de Parfum - Women's Perfume - Floral & Woody - With Rose, Jasmine, and Berries - Medium Intensity, citrus, aromatic, white floral, lavender, amber, woody, patchouli, soft spicy, fresh spicy, herbal, moderate, moderate, male"
Armaf Odyssey - Mandarinsky Limited Edition for Men - 3.4 oz EDP Spray,https://www.fragrantica.com/perfume/Armaf/Odyssey-Mandarin-Sky-83132.html,"citrus, caramel, sweet, amber, aromatic, vanilla, woody, warm spicy",long lasting,moderate,more male,"winter, fall",night,"Armaf Odyssey - Mandarinsky Limited Edition for Men - 3.4 oz EDP Spray, citrus, caramel, sweet, amber, aromatic, vanilla, woody, warm spicy, long lasting, moderate, more male"
"Lattafa Bade'e Al Oud Sublime - Tropical, Fruity, Fresh, Vanilla - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Sublime-83309.html,"fruity, fresh, tropical, rose, mossy, vanilla, earthy, green",moderate,moderate,female,"spring, summer",day,"Lattafa Bade'e Al Oud Sublime - Tropical, Fruity, Fresh, Vanilla - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml, fruity, fresh, tropical, rose, mossy, vanilla, earthy, green, moderate, moderate, female"
JAFRA Tender Moments Fresh Baby Cologne,https://www.fragrantica.com/perfume/JAFRA/Tender-Moments-Fresh-Baby-Cologne-82371.html,,moderate,moderate,unisex,"winter, fall, spring, summer","day, night","JAFRA Tender Moments Fresh Baby Cologne, , moderate, moderate, unisex"
"Lattafa Khamrah - Vanilla, Warm Spicy, Amber, Cinnamon - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,"sweet, warm spicy, vanilla, amber, cinnamon, woody, fresh spicy, fruity",long lasting,strong,unisex,"winter, fall","night, day","Lattafa Khamrah - Vanilla, Warm Spicy, Amber, Cinnamon - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml, sweet, warm spicy, vanilla, amber, cinnamon, woody, fresh spicy, fruity, long lasting, strong, unisex"
Jo Malone Lime Basil Mandarin by Jo Malone for Unisex - 3.4 oz Cologne Spray ( Pack May Vary ),https://www.fragrantica.com/perfume/Jo-Malone-London/Lime-Basil-Mandarin-5585.html,"citrus, aromatic, fresh spicy, green, woody, herbal",moderate,moderate,unisex,"summer, spring",day,"Jo Malone Lime Basil Mandarin by Jo Malone for Unisex - 3.4 oz Cologne Spray ( Pack May Vary ), citrus, aromatic, fresh spicy, green, woody, herbal, moderate, moderate, unisex"
"Jo Malone Wood Sage & Sea Salt Cologne Spray for Women, 1 Ounce",https://www.fragrantica.com/perfume/Jo-Malone-London/Wood-Sage-Sea-Salt-25529.html,"aromatic, salty, marine, citrus, musky, herbal, soft spicy, floral, aquatic",weak,intimate,unisex,"summer, spring",day,"Jo Malone Wood Sage & Sea Salt Cologne Spray for Women, 1 Ounce, aromatic, salty, marine, citrus, musky, herbal, soft spicy, floral, aquatic, weak, intimate, unisex"
"Victoria's Secret Tease Eau de Parfum, Notes of White Gardenia, Anjou Pear & Black Vanilla, Perfumes for Women (1.7 oz)",https://www.fragrantica.com/perfume/Victoria-s-Secret/Tease-Eau-de-Parfum-2020-64012.html,"vanilla, white floral, sweet, fruity, aquatic, lactonic, powdery, fresh",moderate,moderate,female,"spring, summer",day,"Victoria's Secret Tease Eau de Parfum, Notes of White Gardenia, Anjou Pear & Black Vanilla, Perfumes for Women (1.7 oz), vanilla, white floral, sweet, fruity, aquatic, lactonic, powdery, fresh, moderate, moderate, female"
"Love Struck Eau De Parfum Spray for Women by Vera Wang, 3.4 Ounce",https://www.fragrantica.com/perfume/Vera-Wang/Lovestruck-11652.html,"musky, fruity, tropical, powdery, floral, citrus, tuberose, aquatic, woody, amber",moderate,intimate,female,"spring, summer",day,"Love Struck Eau De Parfum Spray for Women by Vera Wang, 3.4 Ounce, musky, fruity, tropical, powdery, floral, citrus, tuberose, aquatic, woody, amber, moderate, intimate, female"
Gucci Guilty for Men 3.0 oz Eau de Parfum Spray,https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Pour-Homme-Parfum-71378.html,"woody, fresh spicy, aromatic, citrus, lavender, musky, white floral, patchouli",moderate,moderate,male,"spring, fall","day, night","Gucci Guilty for Men 3.0 oz Eau de Parfum Spray, woody, fresh spicy, aromatic, citrus, lavender, musky, white floral, patchouli, moderate, moderate, male"
Valentino Donna Born In Roma Intense for Women - 1.7 oz EDP Spray,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-55805.html,"woody, vanilla, fruity, soft spicy, white floral, powdery, floral, musky, green, citrus",moderate,moderate,female,"fall, spring","day, night","Valentino Donna Born In Roma Intense for Women - 1.7 oz EDP Spray, woody, vanilla, fruity, soft spicy, white floral, powdery, floral, musky, green, citrus, moderate, moderate, female"
"Gucci Bloom for Women Eau De Parfum Spray, 1.6 Oz",https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-44894.html,"white floral, tuberose",moderate,moderate,female,spring,day,"Gucci Bloom for Women Eau De Parfum Spray, 1.6 Oz, white floral, tuberose, moderate, moderate, female"
"Britney Spears Curious, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz",https://www.fragrantica.com/perfume/Britney-Spears/Curious-141.html,"floral, white floral, aquatic, fruity, tuberose, sweet, powdery, musky, fresh, woody",moderate,moderate,female,spring,day,"Britney Spears Curious, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz, floral, white floral, aquatic, fruity, tuberose, sweet, powdery, musky, fresh, woody, moderate, moderate, female"
"Guerlain Shalimar Eau De Parfum Spray for Women, 3 Ounce",https://www.fragrantica.com/perfume/Guerlain/Shalimar-Eau-de-Parfum-53.html,"citrus, amber, woody, vanilla, balsamic, powdery, smoky, leather, animalic, warm spicy",long lasting,strong,female,"winter, fall",night,"Guerlain Shalimar Eau De Parfum Spray for Women, 3 Ounce, citrus, amber, woody, vanilla, balsamic, powdery, smoky, leather, animalic, warm spicy, long lasting, strong, female"
Fantasy/Britney Spears Depp Spray 3.3 Oz (W),https://www.fragrantica.com/perfume/Britney-Spears/Fantasy-600.html,"sweet, fruity, tropical, fresh, chocolate",moderate,moderate,female,winter,day,"Fantasy/Britney Spears Depp Spray 3.3 Oz (W), sweet, fruity, tropical, fresh, chocolate, moderate, moderate, female"
4711 by Muelhens Original Eau de Cologne 13.5 fl oz (400 ml),https://www.fragrantica.com/perfume/4711/4711-Original-Eau-de-Cologne-3256.html,"citrus, aromatic, fresh spicy",very weak,intimate,unisex,summer,day,"4711 by Muelhens Original Eau de Cologne 13.5 fl oz (400 ml), citrus, aromatic, fresh spicy, very weak, intimate, unisex"
"Ard Al Zaafaran Turab Al Dhahab Eau De Parfum Spray for Women, 3.4 Ounce",https://www.fragrantica.com/perfume/Ard-Al-Zaafaran/Turab-Al-Dhahab-45232.html,"coconut,vanilla,sweet,musky,powdery,citrus,white floral,lactonic,fresh spicy,tropical",moderate,moderate,female,summer,day,"Ard Al Zaafaran Turab Al Dhahab Eau De Parfum Spray for Women, 3.4 Ounce, coconut,vanilla,sweet,musky,powdery,citrus,white floral,lactonic,fresh spicy,tropical, moderate, moderate, female"
Dior Miss Blooming Bouquet Perfume Women Mini EDT Splash 0.17 Ounce,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Blooming-Bouquet-23280.html,"floral,rose,fresh,fruity,musky,citrus,powdery,sweet",moderate,moderate,female,spring,day,"Dior Miss Blooming Bouquet Perfume Women Mini EDT Splash 0.17 Ounce, floral,rose,fresh,fruity,musky,citrus,powdery,sweet, moderate, moderate, female"
"Jaguar Classic Black, 3.40 Ounce",https://www.fragrantica.com/perfume/Jaguar/Jaguar-Classic-Black-11793.html,"aromatic,woody,citrus,green,fresh spicy,fresh,fruity,marine,musky,powdery",moderate,moderate,male,"spring, summer",day,"Jaguar Classic Black, 3.40 Ounce, aromatic,woody,citrus,green,fresh spicy,fresh,fruity,marine,musky,powdery, moderate, moderate, male"
"Tiramisu Coco for Unisex Eau De Parfum, 3.4 Fl. Oz",https://www.fragrantica.com/perfume/Zimaya/Tiramisu-Coco-98690.html,"sweet,vanilla,almond,fruity,coffee,warm spicy,amber",moderate,moderate,unisex,"winter, fall","night, day","Tiramisu Coco for Unisex Eau De Parfum, 3.4 Fl. Oz, sweet,vanilla,almond,fruity,coffee,warm spicy,amber, moderate, moderate, unisex"
Chanel No. 5 by Chanel for Women 0.05 oz Eau de Parfum Sampler Vial Spray,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-Eau-de-Parfum-40069.html,"woody,aldehydic,fresh,white floral,powdery,earthy,yellow floral,iris,citrus,floral",long lasting,moderate,female,"winter, fall","night, day","Chanel No. 5 by Chanel for Women 0.05 oz Eau de Parfum Sampler Vial Spray, woody,aldehydic,fresh,white floral,powdery,earthy,yellow floral,iris,citrus,floral, long lasting, moderate, female"
"Byredo Gypsy Water Edp Spray for Unisex, 100 ML / 3.3 FL.OZ",https://www.fragrantica.com/perfume/Byredo/Gypsy-Water-3575.html,"woody,aromatic,fresh spicy,citrus,powdery,vanilla,amber,balsamic,warm spicy",moderate,intimate,unisex,"spring, summer",day,"Byredo Gypsy Water Edp Spray for Unisex, 100 ML / 3.3 FL.OZ, woody,aromatic,fresh spicy,citrus,powdery,vanilla,amber,balsamic,warm spicy, moderate, intimate, unisex"
Rasasi Aiyara for Men - 3.38 oz EDP Spray,https://www.fragrantica.com/perfume/Rasasi/Aiyara-Pour-Femme-92101.html,"fruity,sweet,powdery,floral,rose,fresh,woody,white floral,musky,amber",eternal,enormous,female,"fall, summer, spring",night,"Rasasi Aiyara for Men - 3.38 oz EDP Spray, fruity,sweet,powdery,floral,rose,fresh,woody,white floral,musky,amber, eternal, enormous, female"
"Chloe Love Story Eau de Parfum Spray for Women, 1.7 Ounce",https://www.fragrantica.com/perfume/Chloe/Love-Story-26227.html,"white floral,citrus,musky,feuity,sweet,fresh spicy,woody,rose,fresh,powdery",moderate,moderate,female,spring,day,"Chloe Love Story Eau de Parfum Spray for Women, 1.7 Ounce, white floral,citrus,musky,feuity,sweet,fresh spicy,woody,rose,fresh,powdery, moderate, moderate, female"
N5 Chanel Timeless Fragrance,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-Eau-Premiere-2015-31172.html,"aldehydic,woody,fresh,yellow floral,white floral,vanilla,sweet,powdery,floral,soapy",moderate,moderate,female,"spring, fall",day,"N5 Chanel Timeless Fragrance, aldehydic,woody,fresh,yellow floral,white floral,vanilla,sweet,powdery,floral,soapy, moderate, moderate, female"
Chloe Rose Naturelle Intense for Women - 1.6 oz EDP Spray,https://www.fragrantica.com/perfume/Chloe/Chloe-Rose-Naturelle-Intense-76287.html,"woody,rose,citrus,powdery,aromatic",moderate,moderate,female,"spring, fall, summer",day,"Chloe Rose Naturelle Intense for Women - 1.6 oz EDP Spray, woody,rose,citrus,powdery,aromatic, moderate, moderate, female"
Yvonne's Perfume,https://www.fragrantica.com/perfume/Ormaie/Yvonne-52506.html,"fruity,aromatic,sweet,floral,balsamic,fresh spicy,woody,rose,vanilla,citrus",moderate,moderate,female,"spring, summer, fall",day,"Yvonne's Perfume, fruity,aromatic,sweet,floral,balsamic,fresh spicy,woody,rose,vanilla,citrus, moderate, moderate, female"
Loewe Esencia De for Men - 3.4 oz EDT Spray,https://www.fragrantica.com/perfume/Loewe/Esencia-pour-Homme-Eau-de-Parfum-52268.html,"woody,earthy,mossy,aromatic,lavender,powdery",long lasting,moderate,male,"spring, fall, summer","day, night","Loewe Esencia De for Men - 3.4 oz EDT Spray, woody,earthy,mossy,aromatic,lavender,powdery, long lasting, moderate, male"
"Lattafa Asad Bourbon for Unisex Eau de Parfum Spray, 3.4 Ounce / 100 ml",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-Bourbon-101124.html,"vanilla,cacao,aromatic,sweet,lavender,amber,fresh spicy,warm spicy,soft spicy,powdery",long lasting,strong,male,"winter, fall",night,"Lattafa Asad Bourbon for Unisex Eau de Parfum Spray, 3.4 Ounce / 100 ml, vanilla,cacao,aromatic,sweet,lavender,amber,fresh spicy,warm spicy,soft spicy,powdery, long lasting, strong, male"
Khamrah | Eau De Parfum 100ml | Maison Alhambra,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,"sweet,warm spicy,vanilla,amber,cinnamon,woody,fresh spicy,fruity",long lasting,strong,unisex,"winter, fall",night,"Khamrah | Eau De Parfum 100ml | Maison Alhambra, sweet,warm spicy,vanilla,amber,cinnamon,woody,fresh spicy,fruity, long lasting, strong, unisex"
